Coin,Date,Price,RSI,MACD,Signal,Trend,Golden Triangle,Volume
APTOS,2025-07-08 23:09:50,4.428,42.56769629522574,-0.08644827783057174,⏳ Sin señal clara,Bearish,No,0
THE-OPEN-NETWORK,2025-07-08 23:09:57,2.812,43.00106174999591,-0.07876142491111437,⏳ Sin señal clara,Bearish,No,0
OPTIMISM,2025-07-08 23:09:53,0.542,43.24237587175296,-0.021104266723529386,⏳ Sin señal clara,Bearish,No,0
POLKADOT,2025-07-08 23:09:45,3.429,44.01419254537274,-0.11256465396928039,⏳ Sin señal clara,Bearish,No,0
AVALANCHE-2,2025-07-08 23:09:48,18.19,46.18301360499707,-0.4504587373062172,⏳ Sin señal clara,Bearish,No,0
CARDANO,2025-07-08 23:09:42,0.588,46.722295840643206,-0.014978534482595673,⏳ Sin señal clara,Bearish,No,0
PEPE,2025-07-08 23:09:55,1.008e-05,47.2694408893202,-3.333781076671193e-07,⏳ Sin señal clara,Bearish,No,0
SUI,2025-07-08 23:09:54,2.8948,48.61446352341276,-0.04851488911396373,⏳ Sin señal clara,Bearish,No,0
ARBITRUM,2025-07-08 23:09:52,0.3354,49.460703641639086,-0.0044848265743457905,⏳ Sin señal clara,Bearish,No,0
SHIBA-INU,2025-07-08 23:09:56,1.186e-05,50.49623683173052,-1.3624685908052182e-07,⏳ Sin señal clara,Bearish,No,0
DOGECOIN,2025-07-08 23:09:43,0.17181,50.85764266014731,-0.0025295815838304314,⏳ Sin señal clara,Bearish,No,0
SOLANA,2025-07-08 23:09:41,151.93,51.85955553246079,-0.5051018904379703,⏳ Sin señal clara,Bearish,No,0
LITECOIN,2025-07-08 23:09:44,87.7,52.049749692965,-0.14892918286911083,⏳ Sin señal clara,Bearish,No,0
UNISWAP,2025-07-08 23:09:49,7.61,53.15006150198453,-0.0598605798912093,⏳ Sin señal clara,Bearish,No,0
BITCOIN,2025-07-08 23:09:36,108600.01,53.8641305028829,411.44196194197866,⏳ Sin señal clara,Bearish,No,0
